##############        GENERATION 0  ###############
0 0 ['GioNoMinimax', 'GioGenetic'] ['23', '7', '2', '* winner: upper'] -5477
0 1 ['GioNoMinimax', 'GioGenetic'] ['37', '7', '2', '* winner: upper'] -5463
0 2 ['GioGenetic', 'GioNoMinimax'] ['30', '7', '7', '* draw: both players have an invincible token'] -970
0 3 ['GioGenetic', 'GioNoMinimax'] ['31', '7', '4', '* winner: lower'] -5269
0 4 ['GioNoMinimax', 'GioGenetic'] ['25', '7', '4', '* winner: upper'] -5275
0 5 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '3', '* winner: upper'] -5367
0 6 ['GioNoMinimax', 'GioGenetic'] ['25', '7', '3', '* winner: upper'] -5375
0 7 ['GioGenetic', 'GioNoMinimax'] ['31', '7', '3', '* winner: lower'] -5369
0 8 ['GioGenetic', 'GioNoMinimax'] ['31', '6', '5', '* winner: lower'] -5069
0 9 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '2', '* winner: upper'] -5469
fitness value of chromosome 0 :   -49103
1 0 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '5', '* winner: upper'] -5174
1 1 ['GioNoMinimax', 'GioGenetic'] ['31', '7', '1', '* winner: upper'] -5569
1 2 ['GioNoMinimax', 'GioGenetic'] ['29', '7', '3', '* winner: upper'] -5371
1 3 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '2', '* winner: lower'] -5465
1 4 ['GioGenetic', 'GioNoMinimax'] ['39', '7', '1', '* winner: lower'] -5561
1 5 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '0', '* winner: upper'] -5673
1 6 ['GioGenetic', 'GioNoMinimax'] ['35', '7', '3', '* winner: lower'] -5365
1 7 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '2', '* winner: lower'] -5472
1 8 ['GioNoMinimax', 'GioGenetic'] ['36', '7', '2', '* winner: upper'] -5464
1 9 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '2', '* winner: upper'] -5472
fitness value of chromosome 1 :   -54586
2 0 ['GioNoMinimax', 'GioGenetic'] ['35', '7', '5', '* winner: upper'] -5165
2 1 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '3', '* winner: upper'] -5373
2 2 ['GioNoMinimax', 'GioGenetic'] ['28', '7', '3', '* winner: upper'] -5372
2 3 ['GioNoMinimax', 'GioGenetic'] ['34', '7', '6', '* winner: upper'] -5066
2 4 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '5', '* winner: upper'] -5173
2 5 ['GioNoMinimax', 'GioGenetic'] ['35', '7', '3', '* winner: upper'] -5365
2 6 ['GioNoMinimax', 'GioGenetic'] ['24', '7', '1', '* winner: upper'] -5576
2 7 ['GioGenetic', 'GioNoMinimax'] ['46', '7', '3', '* winner: lower'] -5354
2 8 ['GioGenetic', 'GioNoMinimax'] ['22', '7', '3', '* winner: lower'] -5378
2 9 ['GioGenetic', 'GioNoMinimax'] ['28', '7', '2', '* winner: lower'] -5472
fitness value of chromosome 2 :   -53294
3 0 ['GioGenetic', 'GioNoMinimax'] ['29', '8', '2', '* winner: lower'] -5571
3 1 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '1', '* winner: upper'] -5574
3 2 ['GioGenetic', 'GioNoMinimax'] ['29', '7', '1', '* winner: lower'] -5571
3 3 ['GioNoMinimax', 'GioGenetic'] ['19', '7', '1', '* winner: upper'] -5581
3 4 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '2', '* winner: upper'] -5467
3 5 ['GioGenetic', 'GioNoMinimax'] ['36', '7', '1', '* winner: lower'] -5564
3 6 ['GioGenetic', 'GioNoMinimax'] ['23', '7', '1', '* winner: lower'] -5577
3 7 ['GioNoMinimax', 'GioGenetic'] ['24', '7', '1', '* winner: upper'] -5576
3 8 ['GioNoMinimax', 'GioGenetic'] ['27', '7', '2', '* winner: upper'] -5473
3 9 ['GioNoMinimax', 'GioGenetic'] ['34', '8', '3', '* winner: upper'] -5466
fitness value of chromosome 3 :   -55420
4 0 ['GioGenetic', 'GioNoMinimax'] ['64', '7', '1', '* winner: lower'] -5536
4 1 ['GioGenetic', 'GioNoMinimax'] ['22', '7', '2', '* winner: lower'] -5478
4 2 ['GioNoMinimax', 'GioGenetic'] ['26', '7', '0', '* winner: upper'] -5674
4 3 ['GioNoMinimax', 'GioGenetic'] ['33', '7', '1', '* winner: upper'] -5567
4 4 ['GioGenetic', 'GioNoMinimax'] ['23', '8', '2', '* winner: lower'] -5577
4 5 ['GioGenetic', 'GioNoMinimax'] ['51', '7', '2', '* winner: lower'] -5449
4 6 ['GioGenetic', 'GioNoMinimax'] ['33', '7', '3', '* winner: lower'] -5367
4 7 ['GioGenetic', 'GioNoMinimax'] ['31', '7', '3', '* winner: lower'] -5369
